Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,GAP medio,Normalized Power® (NP®),Training Stress Score®,Potencia media,Potencia máxima,Pasos,Repeticiones totales,Series totales,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2025-04-02 13:23:56,false,"Bilbao Carrera","3.52","215","00:21:30","123","142","2.3","161","172","6:07","4:50","12","21","1.01","6:14","267","0.0","261","344","3,460","--","--","No","00:02:52.9","4","00:21:26","00:21:30","16","31"
Carrera,2025-04-01 19:17:08,false,"Bilbao Carrera","3.31","212","00:23:34","123","144","2.0","156","165","7:08","5:47","18","22","0.90","7:09","234","0.0","227","328","3,682","--","--","No","00:02:02.2","4","00:23:01","00:23:34","13","27"
Carrera,2025-03-30 09:00:20,false,"Guecho - Carrera de medio maratón","21.21","1,381","01:53:05","160","185","5.0","170","183","5:20","4:38","65","39","1.10","5:20","296","0.0","294","370","19,212","--","--","No","00:00:29.3","23","01:52:50","01:53:05","-17","12"
Carrera,2025-03-28 12:01:50,false,"Bilbao - Trote suave","5.87","373","00:40:01","128","142","2.4","154","173","6:49","5:24","39","36","0.95","6:52","251","0.0","241","349","6,158","--","--","No","00:00:00.6","8","00:38:57","00:40:01","5","18"
Carrera,2025-03-26 11:25:18,false,"Bilbao - Carrera al ritmo","10.26","668","01:00:01","147","172","4.0","164","183","5:51","4:22","44","57","1.04","5:52","285","0.0","274","407","9,838","--","--","No","00:00:01.0","13","00:59:51","01:00:01","14","33"
Carrera,2025-03-25 19:26:38,false,"Bilbao - Trote suave","2.08","129","00:16:54","114","130","1.1","153","161","8:08","5:54","10","15","0.80","8:05","207","0.0","200","290","2,606","--","--","No","00:04:00.9","3","00:16:41","00:16:54","14","23"
Carrera,2025-03-23 16:45:14,false,"Bilbao - Trote suave","7.28","448","00:45:00","130","153","2.8","164","181","6:11","4:15","33","42","0.98","6:13","264","0.0","258","380","7,424","--","--","No","00:00:00.4","10","00:44:44","00:45:00","6","19"
Carrera,2025-03-21 12:12:36,false,"Bilbao - Carrera con ritmo de meta","7.73","510","00:46:42","147","168","3.4","159","178","6:02","3:40","76","71","1.04","6:09","278","0.0","267","445","7,466","--","--","No","00:02:05.2","9","00:46:09","00:46:42","2","23"
Carrera,2025-03-19 12:04:30,false,"Bilbao - Carrera con ritmo de meta","9.71","634","00:58:50","145","169","3.5","159","174","6:04","4:49","54","89","1.04","6:11","274","0.0","267","362","9,364","--","--","No","00:00:51.7","12","00:58:32","00:58:50","4","52"
Carrera,2025-03-13 12:27:43,false,"Bilbao - Carrera al ritmo","10.33","701","01:00:01","151","190","4.1","162","176","5:49","3:26","46","58","1.05","6:12","291","0.0","265","511","9,712","--","--","No","00:00:01.4","13","00:56:22","01:00:01","6","25"
Carrera,2025-03-11 14:33:28,false,"Bilbao - Trote suave","5.68","380","00:35:05","139","155","2.8","160","170","6:11","4:01","39","40","1.01","6:29","266","0.0","255","469","5,586","--","--","No","00:00:04.9","8","00:33:25","00:35:05","-3","17"
Carrera,2025-03-10 12:26:13,false,"Bilbao - Carrera con ritmo de meta","9.10","618","00:54:42","149","170","3.6","161","173","6:01","4:27","43","41","1.03","5:49","285","0.0","275","385","8,756","--","--","No","00:01:20.1","11","00:53:57","00:54:42","--","17"
Carrera,2025-03-07 13:34:44,false,"Bilbao - Trote suave","5.78","396","00:35:42","143","163","2.9","157","165","6:11","3:11","42","54","1.03","5:47","314","0.0","295","552","5,592","--","--","No","00:02:11.7","7","00:35:37","00:35:42","8","30"
Carrera,2025-03-04 20:11:49,false,"Bilbao - Trote suave","5.59","365","00:38:27","127","147","2.3","154","169","6:53","4:01","28","37","0.94","6:57","248","0.0","240","451","5,948","--","--","No","00:00:05.3","7","00:37:59","00:38:27","8","26"
Carrera,2025-02-25 20:04:07,false,"Bilbao - Trote suave","10.00","642","01:00:07","137","151","3.1","164","173","6:01","4:42","37","30","1.02","6:09","276","0.0","271","383","9,830","--","--","No","00:00:07.3","13","00:59:33","01:00:07","7","22"
Carrera,2025-02-23 12:57:17,false,"Bilbao - Trote suave","18.01","1,182","01:54:27","140","153","3.6","157","171","6:21","5:28","65","74","1.00","6:24","264","0.0","258","345","18,022","--","--","No","00:00:27.7","20","01:52:52","01:54:27","6","27"
Carrera,2025-02-21 11:45:21,false,"Bilbao - Carrera de progresión","9.01","597","00:53:47","143","182","3.4","162","186","5:58","3:57","96","108","1.03","6:01","289","0.0","280","462","8,718","--","--","No","00:04:21.1","10","00:53:19","00:53:47","7","27"
Carrera,2025-02-20 13:11:26,false,"Bilbao - Carrera con ritmo de meta","10.15","715","00:59:19","157","185","4.2","160","177","5:51","4:13","51","50","1.07","5:53","290","0.0","279","429","9,524","--","--","No","00:00:09.1","13","00:59:02","00:59:19","14","27"
Carrera,2025-02-19 14:29:23,false,"Bilbao - Trote suave","5.94","392","00:35:37","138","152","2.9","160","172","6:00","4:41","36","38","1.04","6:00","280","0.0","275","378","5,690","--","--","No","00:00:14.8","9","00:35:33","00:35:37","7","23"
Carrera,2025-02-11 15:39:51,false,"Bilbao - Trote suave","8.01","549","00:49:03","141","157","3.2","161","171","6:08","4:56","69","67","1.02","6:09","287","0.0","280","411","7,868","--","--","No","00:01:44.4","10","00:49:00","00:49:03","-1","15"
Carrera,2025-02-09 13:33:42,false,"Bilbao - Trote suave","21.17","1,405","02:09:58","141","152","4.0","161","173","6:08","4:37","78","80","1.01","6:10","274","0.0","270","398","20,840","--","--","No","00:02:27.0","23","02:08:53","02:09:58","-2","19"
Carrera,2025-02-08 14:19:44,false,"Bilbao - Trote suave","7.96","507","00:46:59","133","146","2.9","168","180","5:54","5:04","41","53","1.01","6:00","279","0.0","275","367","7,926","--","--","No","00:00:50.3","10","00:46:57","00:46:59","12","39"
Carrera,2025-02-04 11:37:10,false,"Bilbao - Carrera de progresión","6.98","464","00:40:06","143","174","3.3","171","207","5:45","4:21","31","42","1.02","5:51","287","0.0","279","416","6,830","--","--","No","00:00:06.4","10","00:40:04","00:40:06","12","30"
Carrera,2025-01-31 13:39:37,false,"Bilbao - Repeticiones: velocidad","8.83","600","00:51:34","150","176","3.6","163","233","5:51","3:53","32","23","1.05","5:51","295","0.0","274","431","8,460","--","--","No","00:00:14.5","25","00:51:30","00:51:36","5","19"
Carrera,2025-01-30 21:12:40,false,"Bilbao - Trote suave","6.20","431","00:37:18","145","165","3.1","159","177","6:01","4:45","30","36","1.05","6:07","289","0.0","276","387","5,960","--","--","No","00:02:58.3","7","00:35:47","00:41:11","6","22"
Carrera,2025-01-28 17:10:28,false,"Bilbao - Trote suave","5.75","400","00:33:27","146","166","3.2","162","171","5:49","4:35","38","44","1.06","5:46","302","0.0","294","488","5,408","--","--","No","00:02:49.0","7","00:33:25","00:33:27","9","22"
Carrera,2025-01-26 10:30:23,false,"Las arenas - Bilbao 2025","12.23","863","01:02:03","174","187","5.0","165","178","5:04","4:04","180","171","1.20","5:02","352","0.0","346","569","10,186","--","--","No","00:00:14.8","14","01:01:55","01:02:03","-0","20"
Carrera,2025-01-23 18:52:29,false,"Bilbao - Trote suave","7.97","568","00:50:07","144","164","3.2","153","171","6:17","3:57","44","48","1.04","6:19","276","0.0","266","471","7,682","--","--","No","00:01:36.9","10","00:49:07","00:50:07","5","21"
Carrera,2025-01-21 11:54:58,false,"Bilbao - Trote suave","17.01","1,129","01:42:03","144","156","3.8","155","173","6:00","3:39","87","100","1.07","6:04","288","0.0","282","489","15,882","--","--","No","00:00:55.4","19","01:40:57","01:42:03","-1","34"
Carrera,2025-01-19 13:32:21,false,"Bilbao - Trote suave","14.53","996","01:30:06","145","165","3.6","155","243","6:12","5:03","64","58","1.04","6:13","276","0.0","271","363","13,966","--","--","No","00:00:06.2","17","01:29:01","01:30:06","2","19"
Carrera,2025-01-17 11:07:25,false,"Bilbao - Trote suave","7.34","509","00:45:07","145","160","3.2","151","161","6:09","4:37","34","42","1.08","6:10","277","0.0","272","384","6,794","--","--","No","00:00:06.8","10","00:44:41","00:45:07","5","21"
Carrera,2025-01-16 18:39:59,false,"Bilbao - Repeticiones: velocidad","8.44","585","00:54:01","145","172","3.5","152","186","6:24","3:55","46","47","1.02","6:21","279","0.0","259","425","8,206","--","--","No","00:00:30","30","00:53:26","00:54:01","8","22"
Carrera,2025-01-15 10:40:36,false,"Bilbao - Trote suave","7.34","483","00:50:02","135","167","2.7","151","200","6:49","5:03","37","52","0.97","7:00","243","0.0","238","343","7,564","--","--","No","00:01:46.4","9","00:49:38","00:50:02","7","29"
Carrera,2025-01-14 14:49:17,false,"Bilbao - Carrera de progresión","6.69","437","00:40:06","140","167","3.2","154","166","6:00","4:22","40","38","1.08","6:03","285","0.0","275","433","6,150","--","--","No","00:00:05.5","9","00:40:00","00:40:06","10","26"
Carrera,2025-01-12 11:04:44,false,"Bilbao - Trote suave","16.01","1,062","01:40:10","143","154","3.8","157","170","6:15","4:46","55","59","1.02","6:19","268","0.0","263","371","15,724","--","--","No","00:00:10.0","18","01:39:04","01:40:10","2","24"
Carrera,2025-01-09 13:59:25,false,"Bilbao - Repeticiones: velocidad","6.60","451","00:42:18","142","169","3.2","152","236","6:25","3:51","40","43","1.03","6:27","269","0.0","252","480","6,506","--","--","No","00:00:16.4","29","00:42:16","00:42:18","4","24"
Carrera,2025-01-08 18:50:58,false,"Bilbao - Carrera de progresión","6.73","460","00:41:26","145","182","3.4","157","174","6:10","3:40","49","63","1.03","6:08","288","0.0","278","484","6,496","--","--","No","00:00:58.6","9","00:41:23","00:41:26","15","40"
Carrera,2025-01-07 11:54:08,false,"Bilbao - Trote suave","7.63","518","00:48:12","141","168","3.2","156","189","6:19","4:11","53","56","1.02","6:22","274","0.0","267","407","7,506","--","--","No","00:01:03.4","10","00:47:29","00:48:12","5","22"
Carrera,2025-01-05 13:10:35,false,"Bilbao - Trote suave","14.01","930","01:28:20","144","158","3.7","158","187","6:18","4:52","84","90","1.00","6:24","271","0.0","265","425","13,934","--","--","No","00:00:37.4","16","01:28:00","01:28:20","-0","21"
Carrera,2025-01-03 12:29:43,false,"Bilbao - Repeticiones de zancada","3.70","242","00:27:05","130","151","2.2","146","209","7:19","3:20","18","17","0.96","7:15","235","0.0","217","496","4,102","--","--","No","00:00:13.3","21","00:26:58","00:27:05","13","23"
Carrera,2025-01-02 12:09:31,false,"Bilbao - Trote suave","4.89","350","00:32:29","145","162","3.0","158","250","6:38","5:45","25","65","0.95","6:44","254","0.0","242","357","5,200","--","--","No","00:00:05.0","9","00:31:38","00:32:29","15","62"
Carrera,2024-12-31 16:31:34,false,"Bilbao - Trote suave","6.55","432","00:40:50","137","155","3.1","161","184","6:14","4:17","64","58","0.99","6:12","272","0.0","264","372","6,594","--","--","No","00:00:50.4","9","00:40:27","00:40:50","18","59"
Carrera,2024-12-30 13:20:56,false,"Bilbao - Trote suave","4.54","309","00:28:09","145","161","3.0","159","221","6:12","4:33","25","21","1.01","6:07","271","0.0","264","382","4,490","--","--","No","00:03:09.4","6","00:28:09","00:28:09","17","29"
Carrera,2024-12-28 11:56:23,false,"Bilbao - Carrera de referencia","1.70","111","00:09:53.7","144","170","2.2","162","178","5:50","4:45","14","13","1.05","5:39","299","0.0","278","424","1,626","--","--","No","00:00:53.7","4","00:09:44.7","00:09:53.7","24","31"
Carrera,2024-12-27 10:22:30,false,"Bilbao Carrera","7.90","649","00:55:57","161","182","4.0","146","212","7:05","4:54","169","119","0.96","6:56","256","0.0","234","389","8,332","--","--","No","00:05:36.5","8","00:53:13","00:55:57","10","108"
Carrera,2024-12-12 10:58:47,false,"Bilbao - Trote suave","12.96","898","01:20:54","152","178","3.7","160","179","6:15","4:41","128","77","1.00","6:15","272","0.0","267","374","12,930","--","--","No","00:00:54.3","15","01:20:24","01:20:54","0","82"
Carrera,2024-12-10 17:49:15,false,"Bilbao - Trote suave","6.52","427","00:41:48","139","183","3.0","157","167","6:25","4:55","46","46","0.99","6:29","261","0.0","251","350","6,540","--","--","No","00:00:01.3","10","00:41:45","00:41:48","14","31"
Carrera,2024-12-04 10:52:44,false,"Bilbao - Carrera de referencia","1.58","100","00:09:08.9","141","160","2.1","163","181","5:47","4:26","6","9","1.05","5:46","292","0.0","273","353","1,490","--","--","No","00:00:08.9","5","00:09:07.5","00:09:08.9","8","17"
Carrera,2024-12-03 10:16:43,false,"Bilbao - Base","5.48","374","00:32:02","149","173","3.3","159","169","5:50","4:43","48","40","1.08","5:43","291","0.0","281","391","5,120","--","--","No","00:00:01.6","7","00:31:50","00:32:09","5","27"
Carrera,2024-12-02 11:33:00,false,"Bilbao - Carrera Intervalos","4.40","307","00:27:39","145","173","3.1","151","181","6:17","3:55","22","23","1.04","6:12","287","0.0","253","440","4,168","--","--","No","00:00:41.1","16","00:27:25","00:27:39","12","22"
Carrera,2024-11-27 11:06:48,false,"Bilbao - Base","7.43","482","00:44:26","144","172","3.3","161","179","5:59","4:32","95","92","1.04","6:05","282","0.0","275","438","7,220","--","--","No","00:01:02.9","9","00:43:53","00:48:00","15","87"
Carrera,2024-11-25 12:51:33,false,"Bilbao - carrera  lunes 25","5.44","373","00:29:33","160","179","3.5","164","171","5:26","4:49","34","29","1.12","5:24","309","0.0","305","406","4,854","--","--","No","00:02:26.0","6","00:29:31","00:29:33","6","20"
Carrera,2024-11-21 10:52:15,false,"Easy run con Egun","5.03","369","00:32:41","145","159","3.1","157","174","6:30","3:58","35","42","0.98","6:18","280","0.0","265","471","5,194","--","--","No","00:00:18.8","6","00:31:16","00:32:41","5","25"
Carrera,2024-11-20 10:32:14,false,"Bilbao - miércoles 20 series fartlek 4x2","3.43","220","00:21:04","138","162","2.5","153","173","6:08","4:03","15","18","1.06","6:21","274","0.0","252","459","3,308","--","--","No","00:01:03.8","9","00:20:48","00:21:04","8","19"
Carrera,2024-11-17 11:00:03,false,"Bilbao Carrera","9.92","671","00:52:17","164","195","5.0","168","181","5:16","4:04","47","143","1.13","5:22","307","0.0","304","432","8,780","--","--","No","00:04:07.2","10","00:52:11","00:52:17","10","115"
Carrera,2024-11-07 18:24:09,false,"Bilbao - Series llano","1.21","85","00:07:08.3","149","174","2.1","138","204","5:55","3:09","3","2","1.16","5:58","324","0.0","235","529","1,044","--","--","No","00:00:04.5","9","00:06:55.8","00:07:08.3","9","12"
Carrera,2024-11-05 12:51:50,false,"Bilbao Carrera","6.37","441","00:37:53","154","179","3.5","160","176","5:57","4:48","31","32","1.05","5:57","279","0.0","276","358","6,050","--","--","No","00:09:16.7","4","00:37:51","00:37:53","22","33"
Carrera,2024-11-03 19:11:08,false,"Carrera","4.10","263","00:24:44","141","160","3.0","153","231","6:02","4:59","31","32","1.08","6:03","274","0.0","263","349","3,820","--","--","No","00:06:00.4","3","00:23:56","00:31:44","14","33"
Carrera,2024-10-30 12:11:31,false,"Bilbao - Base","4.56","303","00:27:46","148","157","3.1","161","168","6:05","5:28","28","25","1.02","6:00","264","0.0","260","333","4,466","--","--","No","00:03:29.6","4","00:27:45","00:27:46","23","36"
Carrera,2024-05-29 09:07:57,false,"Bilbao - Umbral","5.74","388","00:32:18","155","178","3.5","162","181","5:37","4:31","28","33","1.10","5:42","285","0.0","280","367","5,244","--","--","No","00:00:40.2","6","00:32:12","00:33:31","23","36"
Carrera,2024-05-16 16:39:37,false,"Bilbao - Base","5.10","351","00:29:09","155","183","3.5","160","200","5:43","3:41","45","46","1.09","5:37","298","0.0","282","426","4,674","--","--","No","00:02:23.3","4","00:29:01","00:29:09","15","40"
Carrera,2024-05-09 16:48:09,false,"Carrera 5","0.44","21","00:02:54.2","129","135","3.2","164","171","6:33","5:46","1","26","0.93","7:07","208","0.0","208","284","472","--","--","No","00:02:54.2","1","00:02:54","00:02:54.7","16","43"
Carrera,2024-05-09 16:36:20,false,"Carrera 4","0.55","42","00:03:50.9","154","165","3.1","158","163","7:03","6:11","28","--","0.90","5:50","262","0.0","257","311","602","--","--","No","00:03:50.9","1","00:03:50.9","00:05:30.9","4","42"
Carrera,2024-05-09 16:23:46,false,"Carrera 3","1.18","100","00:09:37.9","145","158","3.0","130","181","8:09","5:34","2","20","0.95","8:19","216","0.0","182","279","1,290","--","--","No","00:09:37.9","1","00:08:06","00:09:45.1","-22","-1"
Carrera,2024-05-09 16:06:55,false,"Carrera 2","1.02","78","00:06:21.1","164","172","2.7","157","167","6:15","5:19","11","--","1.02","6:05","278","0.0","266","368","1,012","--","--","No","00:06:21.1","1","00:06:17","00:06:29.0","-46","-33"
Carrera,2024-05-09 15:55:56,false,"Carrera 1","1.03","70","00:05:42.8","154","173","2.1","155","173","5:33","3:53","4","9","1.16","5:37","284","0.0","275","415","938","--","--","No","00:05:42.8","1","00:05:27","00:06:24.8","-47","-39"
Carrera,2024-02-23 13:02:01,false,"Bilbao - Base","4.46","299","00:26:31","144","160","3.1","159","177","5:57","4:38","37","29","1.06","5:46","294","0.0","286","422","4,232","--","--","No","00:07:24.7","3","00:26:17","00:26:31","13","25"
Carrera,2024-01-22 16:11:13,false,"Carrera","3.81","272","00:26:31","140","180","3.0","138","194","6:58","3:38","20","52","1.04","7:03","273","0.0","228","482","3,774","--","--","No","00:04:05.5","3","00:23:57","00:26:34","15","53"
Carrera,2024-01-14 17:42:39,false,"Bilbao Carrera","3.83","294","00:26:26","154","177","3.2","150","222","6:54","3:16","27","29","0.97","6:44","262","0.0","241","538","3,986","--","--","No","00:04:04.1","3","00:25:00","00:26:26","1","13"
Carrera,2024-01-09 17:03:19,false,"Bilbao Carrera","2.40","187","00:26:46","119","146","1.9","99","178","11:09","5:14","60","63","0.90","11:08","182","0.0","124","377","2,968","--","--","No","00:09:48.2","2","00:22:18","00:26:51","15","63"
